name,training_dataset,austin,chicago,kitsap,tyrol-w,vienna,overall
DeepLabV3+,Massachusetts,0.5570 ± 0.0062,0.5665 ± 0.0064,0.4533 ± 0.0751,0.6419 ± 0.0178,0.6422 ± 0.0145,0.5955 ± 0.0095
DeepLabV3+,WHU,0.6052 ± 0.0480,0.6089 ± 0.0083,0.4450 ± 0.0704,0.3530 ± 0.0622,0.6432 ± 0.0336,0.5652 ± 0.0267
DeepLabV3+ + CFENet,Massachusetts,0.5345 ± 0.0320,0.5769 ± 0.0064,0.3612 ± 0.0336,0.6209 ± 0.0112,0.6493 ± 0.0007,0.5946 ± 0.0080
DeepLabV3+ + CFENet,WHU,0.6358 ± 0.0241,0.5966 ± 0.0398,0.6133 ± 0.0652,0.5856 ± 0.0773,0.6370 ± 0.0499,0.6171 ± 0.0403
UNet,Massachusetts,0.5332 ± 0.0322,0.5643 ± 0.0085,0.3722 ± 0.0808,0.6323 ± 0.0162,0.6232 ± 0.0043,0.5791 ± 0.0128
UNet,WHU,0.6207 ± 0.0155,0.6152 ± 0.0124,0.5477 ± 0.0678,0.5667 ± 0.1040,0.6820 ± 0.0119,0.6306 ± 0.0215
UNet + CFENet,Massachusetts,0.4826 ± 0.0163,0.5633 ± 0.0121,0.2880 ± 0.0301,0.5715 ± 0.0242,0.6177 ± 0.0270,0.5590 ± 0.0112
UNet + CFENet,WHU,0.6560 ± 0.0043,0.6240 ± 0.0047,0.6270 ± 0.0269,0.6620 ± 0.0230,0.6731 ± 0.0034,0.6520 ± 0.0024
UPerNet,Massachusetts,0.5414 ± 0.0121,0.5677 ± 0.0007,0.3578 ± 0.0290,0.6470 ± 0.0217,0.6057 ± 0.0293,0.5770 ± 0.0112
UPerNet,WHU,0.6445 ± 0.0264,0.6232 ± 0.0039,0.5862 ± 0.0458,0.6323 ± 0.0637,0.6798 ± 0.0091,0.6469 ± 0.0147
UPerNet + CFENet,Massachusetts,0.5318 ± 0.0389,0.5703 ± 0.0177,0.4055 ± 0.0515,0.6361 ± 0.0062,0.6188 ± 0.0126,0.5832 ± 0.0167
UPerNet + CFENet,WHU,0.6545 ± 0.0210,0.6124 ± 0.0075,0.6521 ± 0.0084,0.6507 ± 0.0331,0.6702 ± 0.0155,0.6466 ± 0.0139
