name,training_dataset,dataset,pos_iou,precision,recall,f1,accuracy,neg_iou,mean_iou,boundary_iou,threshold
DeepLabV3+,Massachusetts,austin,"0.5570 ± 0.0062 → 0.5345 ± 0.0320 (Δ=-0.0224, t=-1.05, p=0.404)","0.7382 ± 0.0089 → 0.8172 ± 0.0409 (Δ=+0.0790, t=4.09, p=0.055)","0.6942 ± 0.0076 → 0.6109 ± 0.0667 (Δ=-0.0832, t=-2.13, p=0.167)","0.7155 ± 0.0051 → 0.6963 ± 0.0270 (Δ=-0.0191, t=-1.07, p=0.398)","0.9263 ± 0.0015 → 0.9293 ± 0.0019 (Δ=+0.0030, t=1.64, p=0.242)","0.9188 ± 0.0016 → 0.9231 ± 0.0015 (Δ=+0.0042, t=2.66, p=0.117)","0.7379 ± 0.0038 → 0.7288 ± 0.0166 (Δ=-0.0091, t=-0.80, p=0.509)","0.5570 ± 0.0062 → 0.5345 ± 0.0320 (Δ=-0.0224, t=-1.05, p=0.404)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,Massachusetts,chicago,"0.5665 ± 0.0064 → 0.5769 ± 0.0064 (Δ=+0.0104, t=2.22, p=0.157)","0.6580 ± 0.0200 → 0.6847 ± 0.0179 (Δ=+0.0267, t=1.26, p=0.334)","0.8039 ± 0.0244 → 0.7860 ± 0.0130 (Δ=-0.0179, t=-0.84, p=0.491)","0.7233 ± 0.0052 → 0.7317 ± 0.0052 (Δ=+0.0084, t=2.23, p=0.156)","0.8753 ± 0.0056 → 0.8832 ± 0.0046 (Δ=+0.0078, t=1.43, p=0.288)","0.8511 ± 0.0074 → 0.8610 ± 0.0059 (Δ=+0.0100, t=1.37, p=0.304)","0.7088 ± 0.0064 → 0.7190 ± 0.0061 (Δ=+0.0102, t=1.71, p=0.229)","0.5656 ± 0.0068 → 0.5759 ± 0.0063 (Δ=+0.0103, t=2.12, p=0.169)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,Massachusetts,kitsap,"0.4533 ± 0.0751 → 0.3612 ± 0.0336 (Δ=-0.0921, t=-1.59, p=0.252)","0.5810 ± 0.1117 → 0.5683 ± 0.0624 (Δ=-0.0127, t=-0.30, p=0.795)","0.6753 ± 0.0148 → 0.5080 ± 0.0942 (Δ=-0.1673, t=-2.72, p=0.113)","0.6213 ± 0.0735 → 0.5301 ± 0.0368 (Δ=-0.0912, t=-1.56, p=0.258)","0.9831 ± 0.0052 → 0.9821 ± 0.0018 (Δ=-0.0010, t=-0.46, p=0.690)","0.9829 ± 0.0052 → 0.9819 ± 0.0019 (Δ=-0.0010, t=-0.44, p=0.703)","0.7181 ± 0.0402 → 0.6715 ± 0.0168 (Δ=-0.0466, t=-1.55, p=0.261)","0.4533 ± 0.0751 → 0.3612 ± 0.0336 (Δ=-0.0921, t=-1.59, p=0.252)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,Massachusetts,overall,"0.5955 ± 0.0095 → 0.5946 ± 0.0080 (Δ=-0.0009, t=-0.09, p=0.936)","0.7201 ± 0.0105 → 0.7367 ± 0.0199 (Δ=+0.0165, t=1.00, p=0.424)","0.7751 ± 0.0216 → 0.7560 ± 0.0294 (Δ=-0.0191, t=-0.66, p=0.580)","0.7464 ± 0.0075 → 0.7457 ± 0.0063 (Δ=-0.0007, t=-0.09, p=0.936)","0.9274 ± 0.0016 → 0.9289 ± 0.0018 (Δ=+0.0015, t=0.89, p=0.466)","0.9187 ± 0.0018 → 0.9206 ± 0.0023 (Δ=+0.0019, t=0.96, p=0.437)","0.7571 ± 0.0053 → 0.7576 ± 0.0042 (Δ=+0.0005, t=0.10, p=0.930)","0.5943 ± 0.0093 → 0.5933 ± 0.0080 (Δ=-0.0010, t=-0.10, p=0.927)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,Massachusetts,tyrol-w,"0.6419 ± 0.0178 → 0.6209 ± 0.0112 (Δ=-0.0210, t=-1.28, p=0.328)","0.7379 ± 0.0175 → 0.7673 ± 0.0207 (Δ=+0.0294, t=2.94, p=0.099)","0.8322 ± 0.0325 → 0.7663 ± 0.0372 (Δ=-0.0658, t=-1.92, p=0.195)","0.7818 ± 0.0132 → 0.7661 ± 0.0085 (Δ=-0.0157, t=-1.28, p=0.329)","0.9664 ± 0.0018 → 0.9661 ± 0.0001 (Δ=-0.0002, t=-0.23, p=0.841)","0.9642 ± 0.0019 → 0.9641 ± 0.0002 (Δ=-0.0001, t=-0.07, p=0.952)","0.8031 ± 0.0097 → 0.7925 ± 0.0055 (Δ=-0.0105, t=-1.22, p=0.348)","0.6419 ± 0.0178 → 0.6209 ± 0.0112 (Δ=-0.0210, t=-1.28, p=0.328)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,Massachusetts,vienna,"0.6422 ± 0.0145 → 0.6493 ± 0.0007 (Δ=+0.0071, t=0.87, p=0.474)","0.7794 ± 0.0179 → 0.7552 ± 0.0194 (Δ=-0.0242, t=-1.12, p=0.379)","0.7859 ± 0.0356 → 0.8232 ± 0.0225 (Δ=+0.0372, t=1.14, p=0.374)","0.7821 ± 0.0108 → 0.7874 ± 0.0005 (Δ=+0.0053, t=0.88, p=0.471)","0.8858 ± 0.0030 → 0.8839 ± 0.0035 (Δ=-0.0019, t=-0.72, p=0.548)","0.8563 ± 0.0034 → 0.8521 ± 0.0056 (Δ=-0.0042, t=-0.96, p=0.439)","0.7492 ± 0.0081 → 0.7507 ± 0.0031 (Δ=+0.0015, t=0.36, p=0.750)","0.6399 ± 0.0143 → 0.6468 ± 0.0007 (Δ=+0.0070, t=0.87, p=0.474)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,WHU,austin,"0.6052 ± 0.0480 → 0.6358 ± 0.0241 (Δ=+0.0306, t=2.21, p=0.158)","0.8256 ± 0.0527 → 0.8774 ± 0.0172 (Δ=+0.0518, t=1.44, p=0.286)","0.6928 ± 0.0278 → 0.6983 ± 0.0339 (Δ=+0.0055, t=0.61, p=0.602)","0.7533 ± 0.0379 → 0.7772 ± 0.0182 (Δ=+0.0239, t=2.09, p=0.171)","0.9394 ± 0.0100 → 0.9467 ± 0.0032 (Δ=+0.0073, t=1.79, p=0.216)","0.9332 ± 0.0107 → 0.9412 ± 0.0033 (Δ=+0.0080, t=1.77, p=0.219)","0.7692 ± 0.0294 → 0.7885 ± 0.0136 (Δ=+0.0193, t=2.10, p=0.170)","0.6052 ± 0.0480 → 0.6359 ± 0.0241 (Δ=+0.0306, t=2.20, p=0.158)","0.5067 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0133, t=1.00, p=0.423)"
DeepLabV3+,WHU,chicago,"0.6089 ± 0.0083 → 0.5966 ± 0.0398 (Δ=-0.0124, t=-0.67, p=0.572)","0.7354 ± 0.0135 → 0.7588 ± 0.0279 (Δ=+0.0234, t=1.14, p=0.374)","0.7802 ± 0.0223 → 0.7399 ± 0.0796 (Δ=-0.0404, t=-1.07, p=0.397)","0.7569 ± 0.0064 → 0.7468 ± 0.0317 (Δ=-0.0101, t=-0.68, p=0.564)","0.8985 ± 0.0024 → 0.8990 ± 0.0068 (Δ=+0.0005, t=0.13, p=0.911)","0.8794 ± 0.0031 → 0.8813 ± 0.0065 (Δ=+0.0018, t=0.37, p=0.746)","0.7442 ± 0.0050 → 0.7389 ± 0.0225 (Δ=-0.0053, t=-0.48, p=0.678)","0.6073 ± 0.0086 → 0.5946 ± 0.0400 (Δ=-0.0126, t=-0.69, p=0.563)","0.5067 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0133, t=1.00, p=0.423)"
DeepLabV3+,WHU,kitsap,"0.4450 ± 0.0704 → 0.6133 ± 0.0652 (Δ=+0.1684, t=3.11, p=0.090)","0.5236 ± 0.0978 → 0.7997 ± 0.0991 (Δ=+0.2762, t=3.37, p=0.078)","0.7524 ± 0.0137 → 0.7251 ± 0.0096 (Δ=-0.0273, t=-5.84, p=0.028)","0.6137 ± 0.0672 → 0.7590 ± 0.0513 (Δ=+0.1452, t=3.00, p=0.095)","0.9806 ± 0.0056 → 0.9907 ± 0.0026 (Δ=+0.0101, t=2.72, p=0.113)","0.9803 ± 0.0057 → 0.9905 ± 0.0026 (Δ=+0.0102, t=2.72, p=0.113)","0.7126 ± 0.0380 → 0.8019 ± 0.0339 (Δ=+0.0893, t=3.09, p=0.091)","0.4451 ± 0.0704 → 0.6133 ± 0.0652 (Δ=+0.1683, t=3.10, p=0.090)","0.5067 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0133, t=1.00, p=0.423)"
DeepLabV3+,WHU,overall,"0.5652 ± 0.0267 → 0.6171 ± 0.0403 (Δ=+0.0519, t=2.08, p=0.173)","0.6988 ± 0.0418 → 0.8022 ± 0.0323 (Δ=+0.1034, t=2.50, p=0.130)","0.7489 ± 0.0347 → 0.7297 ± 0.0624 (Δ=-0.0192, t=-0.99, p=0.428)","0.7220 ± 0.0216 → 0.7627 ± 0.0312 (Δ=+0.0407, t=2.08, p=0.173)","0.9204 ± 0.0085 → 0.9376 ± 0.0062 (Δ=+0.0173, t=2.28, p=0.150)","0.9112 ± 0.0096 → 0.9307 ± 0.0065 (Δ=+0.0195, t=2.29, p=0.149)","0.7382 ± 0.0177 → 0.7739 ± 0.0231 (Δ=+0.0357, t=2.15, p=0.164)","0.5743 ± 0.0266 → 0.6186 ± 0.0417 (Δ=+0.0444, t=1.92, p=0.194)","0.5067 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0133, t=1.00, p=0.423)"
DeepLabV3+,WHU,tyrol-w,"0.3530 ± 0.0622 → 0.5856 ± 0.0773 (Δ=+0.2326, t=2.90, p=0.101)","0.3927 ± 0.0816 → 0.7324 ± 0.1430 (Δ=+0.3397, t=2.67, p=0.117)","0.7896 ± 0.0400 → 0.7536 ± 0.0297 (Δ=-0.0360, t=-1.47, p=0.280)","0.5197 ± 0.0699 → 0.7367 ± 0.0600 (Δ=+0.2171, t=2.91, p=0.101)","0.8906 ± 0.0366 → 0.9601 ± 0.0127 (Δ=+0.0695, t=2.48, p=0.132)","0.8839 ± 0.0391 → 0.9578 ± 0.0135 (Δ=+0.0739, t=2.47, p=0.132)","0.6184 ± 0.0506 → 0.7717 ± 0.0454 (Δ=+0.1533, t=2.78, p=0.109)","0.3881 ± 0.0660 → 0.6024 ± 0.0643 (Δ=+0.2143, t=2.86, p=0.103)","0.5067 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0133, t=1.00, p=0.423)"
