name,training_dataset,dataset,pos_iou,precision,recall,f1,accuracy,neg_iou,mean_iou,boundary_iou,threshold
DeepLabV3+,Massachusetts,Massachusetts,"0.7501 ± 0.0046 → 0.7605 ± 0.0028 (Δ=+0.0104, t=6.50, p=0.023)","0.8457 ± 0.0066 → 0.8558 ± 0.0062 (Δ=+0.0101, t=1.84, p=0.207)","0.8691 ± 0.0053 → 0.8724 ± 0.0083 (Δ=+0.0033, t=0.77, p=0.523)","0.8572 ± 0.0030 → 0.8640 ± 0.0018 (Δ=+0.0068, t=6.44, p=0.023)","0.9461 ± 0.0013 → 0.9489 ± 0.0006 (Δ=+0.0028, t=4.40, p=0.048)","0.9357 ± 0.0015 → 0.9390 ± 0.0007 (Δ=+0.0033, t=4.09, p=0.055)","0.8429 ± 0.0030 → 0.8498 ± 0.0016 (Δ=+0.0068, t=5.81, p=0.028)","0.7476 ± 0.0041 → 0.7578 ± 0.0029 (Δ=+0.0102, t=12.71, p=0.006)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,Massachusetts,WHU Test,"0.7404 ± 0.0084 → 0.7215 ± 0.0041 (Δ=-0.0189, t=-4.51, p=0.046)","0.8078 ± 0.0123 → 0.8117 ± 0.0313 (Δ=+0.0039, t=0.16, p=0.890)","0.8989 ± 0.0030 → 0.8686 ± 0.0377 (Δ=-0.0303, t=-1.29, p=0.326)","0.8508 ± 0.0056 → 0.8382 ± 0.0028 (Δ=-0.0126, t=-4.56, p=0.045)","0.9511 ± 0.0023 → 0.9480 ± 0.0023 (Δ=-0.0031, t=-1.26, p=0.335)","0.9431 ± 0.0027 → 0.9399 ± 0.0030 (Δ=-0.0033, t=-1.06, p=0.401)","0.8418 ± 0.0056 → 0.8307 ± 0.0028 (Δ=-0.0111, t=-3.05, p=0.093)","0.6712 ± 0.0111 → 0.6512 ± 0.0119 (Δ=-0.0200, t=-1.90, p=0.198)","0.4233 ± 0.0058 → 0.4267 ± 0.0289 (Δ=+0.0033, t=0.18, p=0.874)"
DeepLabV3+,WHU,Massachusetts,"0.5039 ± 0.0623 → 0.5131 ± 0.0427 (Δ=+0.0091, t=0.79, p=0.512)","0.8229 ± 0.0225 → 0.8344 ± 0.0039 (Δ=+0.0115, t=1.04, p=0.406)","0.5681 ± 0.0869 → 0.5718 ± 0.0543 (Δ=+0.0037, t=0.19, p=0.869)","0.6686 ± 0.0565 → 0.6775 ± 0.0379 (Δ=+0.0089, t=0.82, p=0.499)","0.8965 ± 0.0096 → 0.8992 ± 0.0075 (Δ=+0.0027, t=2.23, p=0.156)","0.8843 ± 0.0086 → 0.8872 ± 0.0071 (Δ=+0.0029, t=3.26, p=0.082)","0.6941 ± 0.0355 → 0.7001 ± 0.0249 (Δ=+0.0060, t=0.97, p=0.433)","0.5017 ± 0.0628 → 0.5111 ± 0.0407 (Δ=+0.0094, t=0.73, p=0.542)","0.5067 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0133, t=1.00, p=0.423)"
DeepLabV3+,WHU,WHU Test,"0.9057 ± 0.0069 → 0.9129 ± 0.0035 (Δ=+0.0073, t=2.43, p=0.135)","0.9548 ± 0.0037 → 0.9577 ± 0.0034 (Δ=+0.0030, t=0.93, p=0.451)","0.9462 ± 0.0040 → 0.9512 ± 0.0040 (Δ=+0.0050, t=17.89, p=0.003)","0.9505 ± 0.0038 → 0.9545 ± 0.0019 (Δ=+0.0040, t=2.42, p=0.136)","0.9847 ± 0.0012 → 0.9859 ± 0.0006 (Δ=+0.0012, t=2.29, p=0.149)","0.9821 ± 0.0014 → 0.9835 ± 0.0007 (Δ=+0.0014, t=2.27, p=0.151)","0.9439 ± 0.0041 → 0.9482 ± 0.0021 (Δ=+0.0043, t=2.41, p=0.138)","0.8717 ± 0.0089 → 0.8820 ± 0.0048 (Δ=+0.0103, t=3.24, p=0.084)","0.5067 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0133, t=1.00, p=0.423)"
UNet,Massachusetts,Massachusetts,"0.7444 ± 0.0073 → 0.7556 ± 0.0048 (Δ=+0.0112, t=7.13, p=0.019)","0.8386 ± 0.0102 → 0.8555 ± 0.0022 (Δ=+0.0169, t=2.66, p=0.117)","0.8689 ± 0.0044 → 0.8662 ± 0.0060 (Δ=-0.0027, t=-0.58, p=0.621)","0.8534 ± 0.0048 → 0.8608 ± 0.0031 (Δ=+0.0073, t=6.95, p=0.020)","0.9445 ± 0.0022 → 0.9479 ± 0.0010 (Δ=+0.0034, t=4.57, p=0.045)","0.9338 ± 0.0026 → 0.9379 ± 0.0011 (Δ=+0.0041, t=4.32, p=0.050)","0.8391 ± 0.0049 → 0.8467 ± 0.0030 (Δ=+0.0077, t=6.09, p=0.026)","0.7417 ± 0.0073 → 0.7527 ± 0.0048 (Δ=+0.0110, t=7.36, p=0.018)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,Massachusetts,WHU Test,"0.7117 ± 0.0120 → 0.6973 ± 0.0128 (Δ=-0.0144, t=-1.61, p=0.250)","0.8205 ± 0.0206 → 0.8269 ± 0.0242 (Δ=+0.0063, t=0.41, p=0.719)","0.8431 ± 0.0055 → 0.8181 ± 0.0403 (Δ=-0.0250, t=-1.02, p=0.414)","0.8315 ± 0.0082 → 0.8216 ± 0.0089 (Δ=-0.0099, t=-1.61, p=0.248)","0.9469 ± 0.0034 → 0.9449 ± 0.0013 (Δ=-0.0020, t=-1.47, p=0.280)","0.9390 ± 0.0040 → 0.9369 ± 0.0013 (Δ=-0.0020, t=-1.31, p=0.321)","0.8253 ± 0.0080 → 0.8171 ± 0.0067 (Δ=-0.0082, t=-1.65, p=0.242)","0.6373 ± 0.0147 → 0.6254 ± 0.0048 (Δ=-0.0120, t=-1.15, p=0.370)","0.4433 ± 0.0153 → 0.4767 ± 0.0321 (Δ=+0.0333, t=1.25, p=0.338)"
UNet,WHU,Massachusetts,"0.5428 ± 0.0197 → 0.5389 ± 0.0049 (Δ=-0.0039, t=-0.30, p=0.795)","0.8090 ± 0.0050 → 0.8155 ± 0.0091 (Δ=+0.0065, t=0.84, p=0.491)","0.6228 ± 0.0288 → 0.6138 ± 0.0091 (Δ=-0.0090, t=-0.42, p=0.715)","0.7035 ± 0.0166 → 0.7003 ± 0.0042 (Δ=-0.0031, t=-0.29, p=0.802)","0.9024 ± 0.0032 → 0.9023 ± 0.0011 (Δ=-0.0001, t=-0.08, p=0.941)","0.8896 ± 0.0030 → 0.8897 ± 0.0012 (Δ=+0.0000, t=0.02, p=0.986)","0.7162 ± 0.0114 → 0.7143 ± 0.0028 (Δ=-0.0019, t=-0.26, p=0.817)","0.5420 ± 0.0185 → 0.5379 ± 0.0043 (Δ=-0.0041, t=-0.33, p=0.775)","0.5033 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0167, t=0.94, p=0.444)"
UNet,WHU,WHU Test,"0.9098 ± 0.0013 → 0.9161 ± 0.0035 (Δ=+0.0063, t=4.77, p=0.041)","0.9555 ± 0.0017 → 0.9578 ± 0.0027 (Δ=+0.0023, t=2.04, p=0.178)","0.9501 ± 0.0010 → 0.9546 ± 0.0019 (Δ=+0.0046, t=2.93, p=0.099)","0.9527 ± 0.0007 → 0.9562 ± 0.0019 (Δ=+0.0035, t=4.80, p=0.041)","0.9854 ± 0.0002 → 0.9864 ± 0.0006 (Δ=+0.0011, t=4.85, p=0.040)","0.9828 ± 0.0003 → 0.9841 ± 0.0007 (Δ=+0.0012, t=4.85, p=0.040)","0.9463 ± 0.0008 → 0.9501 ± 0.0021 (Δ=+0.0038, t=4.79, p=0.041)","0.8759 ± 0.0015 → 0.8846 ± 0.0032 (Δ=+0.0087, t=7.72, p=0.016)","0.5033 ± 0.0058 → 0.5200 ± 0.0265 (Δ=+0.0167, t=0.94, p=0.444)"
UPerNet,Massachusetts,Massachusetts,"0.7549 ± 0.0035 → 0.7575 ± 0.0015 (Δ=+0.0027, t=1.85, p=0.206)","0.8516 ± 0.0080 → 0.8623 ± 0.0125 (Δ=+0.0108, t=3.61, p=0.069)","0.8693 ± 0.0045 → 0.8620 ± 0.0104 (Δ=-0.0073, t=-2.11, p=0.169)","0.8603 ± 0.0022 → 0.8620 ± 0.0010 (Δ=+0.0017, t=1.84, p=0.207)","0.9475 ± 0.0012 → 0.9487 ± 0.0010 (Δ=+0.0012, t=3.63, p=0.068)","0.9373 ± 0.0014 → 0.9389 ± 0.0014 (Δ=+0.0015, t=3.92, p=0.059)","0.8461 ± 0.0024 → 0.8482 ± 0.0014 (Δ=+0.0021, t=2.36, p=0.142)","0.7515 ± 0.0034 → 0.7546 ± 0.0012 (Δ=+0.0030, t=1.96, p=0.188)","0.4733 ± 0.0153 → 0.4900 ± 0.0265 (Δ=+0.0167, t=1.89, p=0.199)"
UPerNet,Massachusetts,WHU Test,"0.7231 ± 0.0056 → 0.7454 ± 0.0075 (Δ=+0.0224, t=7.65, p=0.017)","0.8195 ± 0.0219 → 0.8280 ± 0.0070 (Δ=+0.0085, t=0.90, p=0.463)","0.8606 ± 0.0168 → 0.8820 ± 0.0059 (Δ=+0.0214, t=2.58, p=0.123)","0.8393 ± 0.0037 → 0.8541 ± 0.0049 (Δ=+0.0149, t=7.72, p=0.016)","0.9488 ± 0.0023 → 0.9532 ± 0.0017 (Δ=+0.0044, t=4.44, p=0.047)","0.9409 ± 0.0028 → 0.9458 ± 0.0019 (Δ=+0.0049, t=4.03, p=0.056)","0.8320 ± 0.0042 → 0.8456 ± 0.0047 (Δ=+0.0136, t=6.81, p=0.021)","0.6505 ± 0.0082 → 0.6832 ± 0.0075 (Δ=+0.0327, t=7.99, p=0.015)","0.4733 ± 0.0153 → 0.4900 ± 0.0265 (Δ=+0.0167, t=1.89, p=0.199)"
