name,training_dataset,dataset,instance_precision,instance_recall,instance_f1
DeepLabV3+,Massachusetts,Massachusetts,"0.9078 ± 0.0015 → 0.9177 ± 0.0017 (Δ=+0.0099, t=6.40, p=0.024)","0.8823 ± 0.0072 → 0.8980 ± 0.0058 (Δ=+0.0157, t=2.62, p=0.120)","0.8949 ± 0.0041 → 0.9077 ± 0.0032 (Δ=+0.0128, t=3.37, p=0.078)"
DeepLabV3+,Massachusetts,WHU Test,"0.6708 ± 0.0087 → 0.6837 ± 0.0487 (Δ=+0.0129, t=0.44, p=0.703)","0.7373 ± 0.0130 → 0.6820 ± 0.0217 (Δ=-0.0553, t=-9.52, p=0.011)","0.7024 ± 0.0027 → 0.6822 ± 0.0266 (Δ=-0.0202, t=-1.22, p=0.346)"
DeepLabV3+,Massachusetts,austin,"0.3827 ± 0.0265 → 0.4879 ± 0.0478 (Δ=+0.1052, t=7.13, p=0.019)","0.6484 ± 0.0051 → 0.5828 ± 0.0423 (Δ=-0.0656, t=-2.98, p=0.097)","0.4809 ± 0.0200 → 0.5295 ± 0.0273 (Δ=+0.0486, t=10.67, p=0.009)"
DeepLabV3+,Massachusetts,chicago,"0.4327 ± 0.0088 → 0.5010 ± 0.0560 (Δ=+0.0683, t=1.82, p=0.210)","0.3250 ± 0.0457 → 0.3458 ± 0.0250 (Δ=+0.0208, t=0.56, p=0.631)","0.3702 ± 0.0327 → 0.4090 ± 0.0358 (Δ=+0.0388, t=1.04, p=0.407)"
DeepLabV3+,Massachusetts,kitsap,"0.1647 ± 0.0418 → 0.1695 ± 0.0866 (Δ=+0.0048, t=0.07, p=0.953)","0.6628 ± 0.0083 → 0.5062 ± 0.0799 (Δ=-0.1566, t=-3.15, p=0.088)","0.2621 ± 0.0555 → 0.2498 ± 0.1083 (Δ=-0.0122, t=-0.13, p=0.908)"
DeepLabV3+,Massachusetts,overall,"0.3953 ± 0.0244 → 0.4786 ± 0.0464 (Δ=+0.0832, t=3.70, p=0.066)","0.4817 ± 0.0278 → 0.4573 ± 0.0116 (Δ=-0.0244, t=-1.08, p=0.392)","0.4335 ± 0.0145 → 0.4673 ± 0.0274 (Δ=+0.0337, t=1.65, p=0.241)"
DeepLabV3+,Massachusetts,tyrol-w,"0.4870 ± 0.0942 → 0.6232 ± 0.0418 (Δ=+0.1362, t=3.47, p=0.074)","0.6607 ± 0.0343 → 0.6090 ± 0.0090 (Δ=-0.0517, t=-2.33, p=0.145)","0.5551 ± 0.0555 → 0.6155 ± 0.0207 (Δ=+0.0604, t=2.59, p=0.122)"
DeepLabV3+,Massachusetts,vienna,"0.4556 ± 0.0188 → 0.5711 ± 0.0520 (Δ=+0.1155, t=5.26, p=0.034)","0.5803 ± 0.0195 → 0.5222 ± 0.0077 (Δ=-0.0581, t=-4.05, p=0.056)","0.5101 ± 0.0098 → 0.5446 ± 0.0214 (Δ=+0.0345, t=4.98, p=0.038)"
DeepLabV3+,WHU,Massachusetts,"0.6996 ± 0.0410 → 0.7791 ± 0.0265 (Δ=+0.0795, t=8.86, p=0.012)","0.4616 ± 0.0683 → 0.4578 ± 0.0488 (Δ=-0.0037, t=-0.13, p=0.910)","0.5554 ± 0.0629 → 0.5762 ± 0.0452 (Δ=+0.0208, t=0.88, p=0.470)"
DeepLabV3+,WHU,WHU Test,"0.9125 ± 0.0075 → 0.9316 ± 0.0033 (Δ=+0.0191, t=3.28, p=0.082)","0.9088 ± 0.0084 → 0.9136 ± 0.0092 (Δ=+0.0048, t=2.74, p=0.112)","0.9106 ± 0.0079 → 0.9225 ± 0.0038 (Δ=+0.0118, t=4.90, p=0.039)"
DeepLabV3+,WHU,austin,"0.7356 ± 0.0246 → 0.8221 ± 0.0229 (Δ=+0.0865, t=7.76, p=0.016)","0.6659 ± 0.0288 → 0.6549 ± 0.0142 (Δ=-0.0110, t=-1.06, p=0.401)","0.6990 ± 0.0266 → 0.7290 ± 0.0178 (Δ=+0.0301, t=3.17, p=0.087)"
DeepLabV3+,WHU,chicago,"0.6022 ± 0.0334 → 0.7138 ± 0.0268 (Δ=+0.1116, t=6.73, p=0.021)","0.3659 ± 0.0380 → 0.4224 ± 0.0551 (Δ=+0.0566, t=1.05, p=0.402)","0.4549 ± 0.0375 → 0.5293 ± 0.0461 (Δ=+0.0744, t=1.58, p=0.255)"
DeepLabV3+,WHU,kitsap,"0.3854 ± 0.2142 → 0.8184 ± 0.0210 (Δ=+0.4329, t=3.19, p=0.086)","0.6776 ± 0.0047 → 0.6612 ± 0.0096 (Δ=-0.0163, t=-4.25, p=0.051)","0.4676 ± 0.1779 → 0.7314 ± 0.0134 (Δ=+0.2638, t=2.42, p=0.137)"
DeepLabV3+,WHU,overall,"0.5360 ± 0.0483 → 0.7371 ± 0.0316 (Δ=+0.2010, t=11.77, p=0.007)","0.5139 ± 0.0273 → 0.5352 ± 0.0221 (Δ=+0.0213, t=0.77, p=0.519)","0.5246 ± 0.0373 → 0.6196 ± 0.0143 (Δ=+0.0950, t=3.78, p=0.063)"
DeepLabV3+,WHU,tyrol-w,"0.2985 ± 0.0748 → 0.7203 ± 0.0184 (Δ=+0.4218, t=12.53, p=0.006)","0.7302 ± 0.0340 → 0.6970 ± 0.0169 (Δ=-0.0332, t=-2.79, p=0.108)","0.4212 ± 0.0818 → 0.7084 ± 0.0168 (Δ=+0.2872, t=7.64, p=0.017)"
DeepLabV3+,WHU,vienna,"0.5883 ± 0.0685 → 0.6783 ± 0.0642 (Δ=+0.0900, t=6.86, p=0.021)","0.5936 ± 0.0110 → 0.5922 ± 0.0040 (Δ=-0.0014, t=-0.32, p=0.781)","0.5899 ± 0.0406 → 0.6315 ± 0.0306 (Δ=+0.0416, t=5.55, p=0.031)"
UNet,Massachusetts,Massachusetts,"0.9100 ± 0.0106 → 0.9172 ± 0.0072 (Δ=+0.0072, t=0.75, p=0.532)","0.8625 ± 0.0146 → 0.8810 ± 0.0116 (Δ=+0.0184, t=3.69, p=0.066)","0.8856 ± 0.0112 → 0.8987 ± 0.0054 (Δ=+0.0131, t=3.50, p=0.073)"
