,name,training_dataset,dataset,under_seg_ratio,over_seg_ratio,avg_under_severity,avg_over_severity
0,DeepLabV3+,Massachusetts,Massachusetts,0.0431 ± 0.0034,0.0121 ± 0.0007,1.2294 ± 0.0051,1.0696 ± 0.0237
1,DeepLabV3+,Massachusetts,WHU Test,0.0968 ± 0.0040,0.0124 ± 0.0009,1.2051 ± 0.0235,1.0249 ± 0.0089
2,DeepLabV3+,Massachusetts,austin,0.0686 ± 0.0089,0.0239 ± 0.0025,1.2027 ± 0.0212,1.0051 ± 0.0045
3,DeepLabV3+,Massachusetts,chicago,0.3235 ± 0.0172,0.0093 ± 0.0025,1.6280 ± 0.0410,1.0364 ± 0.0175
4,DeepLabV3+,Massachusetts,kitsap,0.0232 ± 0.0083,0.0118 ± 0.0047,1.0534 ± 0.0464,1.0000 ± 0.0000
5,DeepLabV3+,Massachusetts,overall,0.1545 ± 0.0023,0.0218 ± 0.0022,1.5120 ± 0.0351,1.0474 ± 0.0168
6,DeepLabV3+,Massachusetts,tyrol-w,0.1057 ± 0.0151,0.0236 ± 0.0042,1.2041 ± 0.0275,1.0423 ± 0.0344
7,DeepLabV3+,Massachusetts,vienna,0.0408 ± 0.0079,0.0521 ± 0.0108,1.1497 ± 0.0238,1.0864 ± 0.0315
8,DeepLabV3+,WHU,Massachusetts,0.0784 ± 0.0029,0.0165 ± 0.0029,1.2835 ± 0.0032,1.0665 ± 0.0194
9,DeepLabV3+,WHU,WHU Test,0.0243 ± 0.0031,0.0128 ± 0.0010,1.0516 ± 0.0058,1.0413 ± 0.0068
10,DeepLabV3+,WHU,austin,0.0391 ± 0.0038,0.0245 ± 0.0032,1.1537 ± 0.0110,1.0301 ± 0.0151
11,DeepLabV3+,WHU,chicago,0.3049 ± 0.0142,0.0082 ± 0.0011,1.6522 ± 0.0358,1.0428 ± 0.0372
12,DeepLabV3+,WHU,kitsap,0.0235 ± 0.0028,0.0067 ± 0.0024,1.0758 ± 0.0261,1.0000 ± 0.0000
13,DeepLabV3+,WHU,overall,0.1369 ± 0.0035,0.0224 ± 0.0027,1.5637 ± 0.0298,1.0605 ± 0.0016
14,DeepLabV3+,WHU,tyrol-w,0.0663 ± 0.0119,0.0374 ± 0.0022,1.1800 ± 0.0112,1.0694 ± 0.0374
15,DeepLabV3+,WHU,vienna,0.0261 ± 0.0045,0.0535 ± 0.0112,1.1567 ± 0.0269,1.0849 ± 0.0204
16,DeepLabV3+ + CFENet,Massachusetts,Massachusetts,0.0361 ± 0.0018,0.0133 ± 0.0003,1.1781 ± 0.0328,1.1001 ± 0.0118
17,DeepLabV3+ + CFENet,Massachusetts,WHU Test,0.0969 ± 0.0230,0.0107 ± 0.0007,1.2068 ± 0.0407,1.0395 ± 0.0160
18,DeepLabV3+ + CFENet,Massachusetts,austin,0.0524 ± 0.0151,0.0241 ± 0.0048,1.1797 ± 0.0240,1.0179 ± 0.0156
19,DeepLabV3+ + CFENet,Massachusetts,chicago,0.2996 ± 0.0126,0.0097 ± 0.0017,1.6140 ± 0.0172,1.0496 ± 0.0080
20,DeepLabV3+ + CFENet,Massachusetts,kitsap,0.0181 ± 0.0040,0.0092 ± 0.0017,1.0238 ± 0.0412,1.0000 ± 0.0000
21,DeepLabV3+ + CFENet,Massachusetts,overall,0.1518 ± 0.0051,0.0185 ± 0.0028,1.5179 ± 0.0239,1.0371 ± 0.0141
22,DeepLabV3+ + CFENet,Massachusetts,tyrol-w,0.0988 ± 0.0080,0.0260 ± 0.0019,1.2257 ± 0.0300,1.0322 ± 0.0101
23,DeepLabV3+ + CFENet,Massachusetts,vienna,0.0543 ± 0.0066,0.0331 ± 0.0096,1.2525 ± 0.0147,1.0503 ± 0.0296
24,DeepLabV3+ + CFENet,WHU,Massachusetts,0.0799 ± 0.0091,0.0124 ± 0.0018,1.2989 ± 0.0087,1.0648 ± 0.0256
25,DeepLabV3+ + CFENet,WHU,WHU Test,0.0228 ± 0.0030,0.0119 ± 0.0005,1.0585 ± 0.0038,1.0390 ± 0.0041
26,DeepLabV3+ + CFENet,WHU,austin,0.0314 ± 0.0050,0.0195 ± 0.0012,1.1775 ± 0.0048,1.0358 ± 0.0133
27,DeepLabV3+ + CFENet,WHU,chicago,0.2621 ± 0.0352,0.0098 ± 0.0039,1.6148 ± 0.0306,1.0423 ± 0.0152
28,DeepLabV3+ + CFENet,WHU,kitsap,0.0074 ± 0.0008,0.0060 ± 0.0016,1.2556 ± 0.1262,1.0000 ± 0.0000
29,DeepLabV3+ + CFENet,WHU,overall,0.1215 ± 0.0089,0.0214 ± 0.0039,1.5534 ± 0.0218,1.0531 ± 0.0094
30,DeepLabV3+ + CFENet,WHU,tyrol-w,0.0456 ± 0.0113,0.0406 ± 0.0014,1.1716 ± 0.0128,1.0630 ± 0.0165
31,DeepLabV3+ + CFENet,WHU,vienna,0.0210 ± 0.0079,0.0503 ± 0.0152,1.2171 ± 0.0389,1.0634 ± 0.0171
32,UNet,Massachusetts,Massachusetts,0.0533 ± 0.0093,0.0112 ± 0.0007,1.2518 ± 0.0113,1.0618 ± 0.0080
33,UNet,Massachusetts,WHU Test,0.0726 ± 0.0046,0.0171 ± 0.0019,1.1770 ± 0.0300,1.0295 ± 0.0017
34,UNet,Massachusetts,austin,0.0633 ± 0.0036,0.0279 ± 0.0077,1.2071 ± 0.0351,1.0071 ± 0.0076
35,UNet,Massachusetts,chicago,0.3192 ± 0.0267,0.0087 ± 0.0018,1.6334 ± 0.0279,1.0310 ± 0.0193
36,UNet,Massachusetts,kitsap,0.0124 ± 0.0022,0.0159 ± 0.0055,1.0000 ± 0.0000,1.0000 ± 0.0000
37,UNet,Massachusetts,overall,0.1508 ± 0.0059,0.0240 ± 0.0018,1.5295 ± 0.0237,1.0560 ± 0.0158
38,UNet,Massachusetts,tyrol-w,0.0874 ± 0.0076,0.0295 ± 0.0028,1.2289 ± 0.0510,1.0465 ± 0.0126
39,UNet,Massachusetts,vienna,0.0391 ± 0.0069,0.0574 ± 0.0070,1.1603 ± 0.0324,1.1049 ± 0.0259
40,UNet,WHU,Massachusetts,0.1208 ± 0.0049,0.0123 ± 0.0008,1.3305 ± 0.0090,1.1153 ± 0.0097
41,UNet,WHU,WHU Test,0.0272 ± 0.0014,0.0110 ± 0.0006,1.0586 ± 0.0098,1.0371 ± 0.0127
42,UNet,WHU,austin,0.0308 ± 0.0054,0.0219 ± 0.0011,1.1536 ± 0.0249,1.0247 ± 0.0083
43,UNet,WHU,chicago,0.3091 ± 0.0138,0.0070 ± 0.0013,1.6432 ± 0.0246,1.0309 ± 0.0175
44,UNet,WHU,kitsap,0.0071 ± 0.0031,0.0094 ± 0.0027,1.1250 ± 0.1250,1.0000 ± 0.0000
45,UNet,WHU,overall,0.1335 ± 0.0010,0.0204 ± 0.0017,1.5768 ± 0.0265,1.0554 ± 0.0036
46,UNet,WHU,tyrol-w,0.0473 ± 0.0042,0.0388 ± 0.0059,1.1562 ± 0.0397,1.0597 ± 0.0193
47,UNet,WHU,vienna,0.0223 ± 0.0045,0.0482 ± 0.0049,1.1952 ± 0.0228,1.0872 ± 0.0155
48,UNet + CFENet,Massachusetts,Massachusetts,0.0445 ± 0.0043,0.0117 ± 0.0008,1.2341 ± 0.0280,1.0893 ± 0.0276
49,UNet + CFENet,Massachusetts,WHU Test,0.0857 ± 0.0359,0.0157 ± 0.0061,1.1968 ± 0.0439,1.0288 ± 0.0032
50,UNet + CFENet,Massachusetts,austin,0.0679 ± 0.0577,0.0270 ± 0.0083,1.2258 ± 0.0272,1.0151 ± 0.0059
51,UNet + CFENet,Massachusetts,chicago,0.2940 ± 0.0421,0.0118 ± 0.0052,1.6089 ± 0.0334,1.0400 ± 0.0191
52,UNet + CFENet,Massachusetts,kitsap,0.0120 ± 0.0080,0.0204 ± 0.0020,1.0000 ± 0.0000,1.0000 ± 0.0000
53,UNet + CFENet,Massachusetts,overall,0.1546 ± 0.0235,0.0238 ± 0.0061,1.5178 ± 0.0237,1.0451 ± 0.0185
54,UNet + CFENet,Massachusetts,tyrol-w,0.0905 ± 0.0298,0.0318 ± 0.0110,1.2099 ± 0.0267,1.0234 ± 0.0073
55,UNet + CFENet,Massachusetts,vienna,0.0431 ± 0.0113,0.0526 ± 0.0143,1.2306 ± 0.0354,1.0822 ± 0.0487
56,UNet + CFENet,WHU,Massachusetts,0.1148 ± 0.0120,0.0112 ± 0.0011,1.3322 ± 0.0177,1.0788 ± 0.0153
57,UNet + CFENet,WHU,WHU Test,0.0246 ± 0.0019,0.0105 ± 0.0014,1.0566 ± 0.0034,1.0302 ± 0.0018
58,UNet + CFENet,WHU,austin,0.0271 ± 0.0030,0.0205 ± 0.0028,1.2422 ± 0.0540,1.0259 ± 0.0195
59,UNet + CFENet,WHU,chicago,0.3014 ± 0.0266,0.0061 ± 0.0020,1.6541 ± 0.0365,1.0401 ± 0.0205
60,UNet + CFENet,WHU,kitsap,0.0072 ± 0.0016,0.0050 ± 0.0028,1.1944 ± 0.1735,1.0000 ± 0.0000
61,UNet + CFENet,WHU,overall,0.1299 ± 0.0049,0.0186 ± 0.0014,1.5955 ± 0.0249,1.0395 ± 0.0136
62,UNet + CFENet,WHU,tyrol-w,0.0468 ± 0.0088,0.0361 ± 0.0012,1.1773 ± 0.0376,1.0586 ± 0.0361
63,UNet + CFENet,WHU,vienna,0.0228 ± 0.0034,0.0436 ± 0.0010,1.2465 ± 0.0060,1.0388 ± 0.0045
