name,training_dataset,dataset,under_seg_ratio,over_seg_ratio,avg_under_severity,avg_over_severity
DeepLabV3+,Massachusetts,Massachusetts,"0.0431 ± 0.0034 → 0.0361 ± 0.0018 (Δ=-0.0069, t=-4.58, p=0.044)","0.0121 ± 0.0007 → 0.0133 ± 0.0003 (Δ=+0.0012, t=2.18, p=0.161)","1.2294 ± 0.0051 → 1.1781 ± 0.0328 (Δ=-0.0514, t=-2.75, p=0.111)","1.0696 ± 0.0237 → 1.1001 ± 0.0118 (Δ=+0.0305, t=3.62, p=0.069)"
DeepLabV3+,Massachusetts,WHU Test,"0.0968 ± 0.0040 → 0.0969 ± 0.0230 (Δ=+0.0001, t=0.00, p=0.997)","0.0124 ± 0.0009 → 0.0107 ± 0.0007 (Δ=-0.0016, t=-2.00, p=0.183)","1.2051 ± 0.0235 → 1.2068 ± 0.0407 (Δ=+0.0017, t=0.06, p=0.957)","1.0249 ± 0.0089 → 1.0395 ± 0.0160 (Δ=+0.0147, t=1.06, p=0.398)"
DeepLabV3+,Massachusetts,austin,"0.0686 ± 0.0089 → 0.0524 ± 0.0151 (Δ=-0.0162, t=-1.41, p=0.294)","0.0239 ± 0.0025 → 0.0241 ± 0.0048 (Δ=+0.0002, t=0.08, p=0.940)","1.2027 ± 0.0212 → 1.1797 ± 0.0240 (Δ=-0.0229, t=-1.66, p=0.239)","1.0051 ± 0.0045 → 1.0179 ± 0.0156 (Δ=+0.0127, t=1.22, p=0.347)"
DeepLabV3+,Massachusetts,chicago,"0.3235 ± 0.0172 → 0.2996 ± 0.0126 (Δ=-0.0239, t=-3.10, p=0.090)","0.0093 ± 0.0025 → 0.0097 ± 0.0017 (Δ=+0.0004, t=0.21, p=0.856)","1.6280 ± 0.0410 → 1.6140 ± 0.0172 (Δ=-0.0140, t=-0.72, p=0.547)","1.0364 ± 0.0175 → 1.0496 ± 0.0080 (Δ=+0.0132, t=2.28, p=0.150)"
DeepLabV3+,Massachusetts,kitsap,"0.0232 ± 0.0083 → 0.0181 ± 0.0040 (Δ=-0.0051, t=-0.73, p=0.543)","0.0118 ± 0.0047 → 0.0092 ± 0.0017 (Δ=-0.0027, t=-0.87, p=0.478)","1.0534 ± 0.0464 → 1.0238 ± 0.0412 (Δ=-0.0296, t=-0.59, p=0.617)","1.0000 ± 0.0000 → 1.0000 ± 0.0000 (Δ=+0.0000, t=nan, p=nan)"
DeepLabV3+,Massachusetts,overall,"0.1545 ± 0.0023 → 0.1518 ± 0.0051 (Δ=-0.0027, t=-1.67, p=0.237)","0.0218 ± 0.0022 → 0.0185 ± 0.0028 (Δ=-0.0032, t=-1.14, p=0.374)","1.5120 ± 0.0351 → 1.5179 ± 0.0239 (Δ=+0.0058, t=0.19, p=0.865)","1.0474 ± 0.0168 → 1.0371 ± 0.0141 (Δ=-0.0104, t=-0.59, p=0.615)"
DeepLabV3+,Massachusetts,tyrol-w,"0.1057 ± 0.0151 → 0.0988 ± 0.0080 (Δ=-0.0069, t=-0.52, p=0.654)","0.0236 ± 0.0042 → 0.0260 ± 0.0019 (Δ=+0.0024, t=0.77, p=0.522)","1.2041 ± 0.0275 → 1.2257 ± 0.0300 (Δ=+0.0215, t=0.91, p=0.458)","1.0423 ± 0.0344 → 1.0322 ± 0.0101 (Δ=-0.0101, t=-0.39, p=0.731)"
DeepLabV3+,Massachusetts,vienna,"0.0408 ± 0.0079 → 0.0543 ± 0.0066 (Δ=+0.0134, t=1.63, p=0.245)","0.0521 ± 0.0108 → 0.0331 ± 0.0096 (Δ=-0.0190, t=-1.75, p=0.222)","1.1497 ± 0.0238 → 1.2525 ± 0.0147 (Δ=+0.1029, t=4.73, p=0.042)","1.0864 ± 0.0315 → 1.0503 ± 0.0296 (Δ=-0.0360, t=-1.05, p=0.402)"
DeepLabV3+,WHU,Massachusetts,"0.0784 ± 0.0029 → 0.0799 ± 0.0091 (Δ=+0.0016, t=0.23, p=0.841)","0.0165 ± 0.0029 → 0.0124 ± 0.0018 (Δ=-0.0041, t=-3.93, p=0.059)","1.2835 ± 0.0032 → 1.2989 ± 0.0087 (Δ=+0.0154, t=2.35, p=0.143)","1.0665 ± 0.0194 → 1.0648 ± 0.0256 (Δ=-0.0018, t=-0.08, p=0.945)"
DeepLabV3+,WHU,WHU Test,"0.0243 ± 0.0031 → 0.0228 ± 0.0030 (Δ=-0.0015, t=-13.65, p=0.005)","0.0128 ± 0.0010 → 0.0119 ± 0.0005 (Δ=-0.0009, t=-1.54, p=0.263)","1.0516 ± 0.0058 → 1.0585 ± 0.0038 (Δ=+0.0069, t=6.15, p=0.025)","1.0413 ± 0.0068 → 1.0390 ± 0.0041 (Δ=-0.0023, t=-0.40, p=0.730)"
