name,training_dataset,dataset,size,recall
DeepLabV3+,Massachusetts,Massachusetts,large,0.7461 ± 0.0136
DeepLabV3+,Massachusetts,Massachusetts,medium,0.8934 ± 0.0087
DeepLabV3+,Massachusetts,Massachusetts,outlier,0.8000 ± 0.0294
DeepLabV3+,Massachusetts,Massachusetts,small,0.4708 ± 0.0143
DeepLabV3+,Massachusetts,Massachusetts,very_large,0.7578 ± 0.0155
DeepLabV3+,Massachusetts,WHU Test,large,0.8205 ± 0.0280
DeepLabV3+,Massachusetts,WHU Test,medium,0.7604 ± 0.0179
DeepLabV3+,Massachusetts,WHU Test,outlier,0.9649 ± 0.0304
DeepLabV3+,Massachusetts,WHU Test,small,0.5174 ± 0.0126
DeepLabV3+,Massachusetts,WHU Test,very_large,0.8467 ± 0.0208
DeepLabV3+,Massachusetts,austin,large,0.6285 ± 0.0187
DeepLabV3+,Massachusetts,austin,medium,0.5314 ± 0.0059
DeepLabV3+,Massachusetts,austin,outlier,0.6296 ± 0.1697
DeepLabV3+,Massachusetts,austin,small,0.3404 ± 0.0131
DeepLabV3+,Massachusetts,austin,very_large,0.8354 ± 0.0499
DeepLabV3+,Massachusetts,chicago,large,0.4589 ± 0.0346
DeepLabV3+,Massachusetts,chicago,medium,0.1898 ± 0.0267
DeepLabV3+,Massachusetts,chicago,outlier,0.6364 ± 0.0787
DeepLabV3+,Massachusetts,chicago,small,0.2076 ± 0.0303
DeepLabV3+,Massachusetts,chicago,very_large,0.6177 ± 0.0487
DeepLabV3+,Massachusetts,kitsap,large,0.8210 ± 0.0103
DeepLabV3+,Massachusetts,kitsap,medium,0.5658 ± 0.0149
DeepLabV3+,Massachusetts,kitsap,outlier,0.0000 ± 0.0000
DeepLabV3+,Massachusetts,kitsap,small,0.1754 ± 0.0117
DeepLabV3+,Massachusetts,kitsap,very_large,0.1667 ± 0.0000
DeepLabV3+,Massachusetts,overall,large,0.6465 ± 0.0239
DeepLabV3+,Massachusetts,overall,medium,0.3807 ± 0.0183
DeepLabV3+,Massachusetts,overall,outlier,0.5524 ± 0.0315
DeepLabV3+,Massachusetts,overall,small,0.2573 ± 0.0195
DeepLabV3+,Massachusetts,overall,very_large,0.6137 ± 0.0265
DeepLabV3+,Massachusetts,tyrol-w,large,0.6698 ± 0.0569
DeepLabV3+,Massachusetts,tyrol-w,medium,0.6986 ± 0.0321
DeepLabV3+,Massachusetts,tyrol-w,outlier,0.5833 ± 0.0833
DeepLabV3+,Massachusetts,tyrol-w,small,0.2723 ± 0.0213
DeepLabV3+,Massachusetts,tyrol-w,very_large,0.4965 ± 0.0586
DeepLabV3+,Massachusetts,vienna,large,0.7769 ± 0.0185
DeepLabV3+,Massachusetts,vienna,medium,0.7741 ± 0.0321
DeepLabV3+,Massachusetts,vienna,outlier,0.5303 ± 0.0379
DeepLabV3+,Massachusetts,vienna,small,0.2998 ± 0.0223
DeepLabV3+,Massachusetts,vienna,very_large,0.6027 ± 0.0191
DeepLabV3+,WHU,Massachusetts,large,0.4663 ± 0.0474
DeepLabV3+,WHU,Massachusetts,medium,0.3906 ± 0.0655
DeepLabV3+,WHU,Massachusetts,outlier,0.5111 ± 0.0949
DeepLabV3+,WHU,Massachusetts,small,0.0667 ± 0.0153
DeepLabV3+,WHU,Massachusetts,very_large,0.5150 ± 0.0785
DeepLabV3+,WHU,WHU Test,large,0.9505 ± 0.0023
DeepLabV3+,WHU,WHU Test,medium,0.9765 ± 0.0023
DeepLabV3+,WHU,WHU Test,outlier,1.0000 ± 0.0000
DeepLabV3+,WHU,WHU Test,small,0.7836 ± 0.0234
DeepLabV3+,WHU,WHU Test,very_large,0.9387 ± 0.0034
DeepLabV3+,WHU,austin,large,0.7243 ± 0.0419
DeepLabV3+,WHU,austin,medium,0.6418 ± 0.0359
DeepLabV3+,WHU,austin,outlier,0.4815 ± 0.0642
DeepLabV3+,WHU,austin,small,0.3608 ± 0.0256
DeepLabV3+,WHU,austin,very_large,0.8889 ± 0.0214
DeepLabV3+,WHU,chicago,large,0.4461 ± 0.0115
DeepLabV3+,WHU,chicago,medium,0.1867 ± 0.0248
DeepLabV3+,WHU,chicago,outlier,0.8333 ± 0.0525
DeepLabV3+,WHU,chicago,small,0.2944 ± 0.0428
DeepLabV3+,WHU,chicago,very_large,0.6215 ± 0.0149
DeepLabV3+,WHU,kitsap,large,0.8883 ± 0.0075
DeepLabV3+,WHU,kitsap,medium,0.6092 ± 0.0057
DeepLabV3+,WHU,kitsap,outlier,0.0000 ± 0.0000
DeepLabV3+,WHU,kitsap,small,0.1657 ± 0.0068
DeepLabV3+,WHU,kitsap,very_large,0.6111 ± 0.2546
DeepLabV3+,WHU,overall,large,0.6942 ± 0.0286
DeepLabV3+,WHU,overall,medium,0.4181 ± 0.0267
DeepLabV3+,WHU,overall,outlier,0.5714 ± 0.0800
