name,training_dataset,dataset,size,recall
DeepLabV3+,Massachusetts,Massachusetts,large,"0.7461 ± 0.0136 → 0.7667 ± 0.0094 (Δ=+0.0205, t=1.55, p=0.261)"
DeepLabV3+,Massachusetts,Massachusetts,medium,"0.8934 ± 0.0087 → 0.9121 ± 0.0036 (Δ=+0.0188, t=3.70, p=0.066)"
DeepLabV3+,Massachusetts,Massachusetts,outlier,"0.8000 ± 0.0294 → 0.8259 ± 0.0064 (Δ=+0.0259, t=1.61, p=0.250)"
DeepLabV3+,Massachusetts,Massachusetts,small,"0.4708 ± 0.0143 → 0.4985 ± 0.0113 (Δ=+0.0277, t=2.78, p=0.109)"
DeepLabV3+,Massachusetts,Massachusetts,very_large,"0.7578 ± 0.0155 → 0.7922 ± 0.0203 (Δ=+0.0344, t=1.67, p=0.237)"
DeepLabV3+,Massachusetts,WHU Test,large,"0.8205 ± 0.0280 → 0.7959 ± 0.0333 (Δ=-0.0245, t=-0.74, p=0.539)"
DeepLabV3+,Massachusetts,WHU Test,medium,"0.7604 ± 0.0179 → 0.7349 ± 0.0516 (Δ=-0.0255, t=-0.72, p=0.547)"
DeepLabV3+,Massachusetts,WHU Test,outlier,"0.9649 ± 0.0304 → 0.7982 ± 0.1519 (Δ=-0.1667, t=-1.71, p=0.230)"
DeepLabV3+,Massachusetts,WHU Test,small,"0.5174 ± 0.0126 → 0.4395 ± 0.0484 (Δ=-0.0779, t=-3.13, p=0.089)"
DeepLabV3+,Massachusetts,WHU Test,very_large,"0.8467 ± 0.0208 → 0.8229 ± 0.0259 (Δ=-0.0237, t=-1.98, p=0.186)"
DeepLabV3+,Massachusetts,austin,large,"0.6285 ± 0.0187 → 0.5690 ± 0.0568 (Δ=-0.0594, t=-2.00, p=0.184)"
DeepLabV3+,Massachusetts,austin,medium,"0.5314 ± 0.0059 → 0.4921 ± 0.0329 (Δ=-0.0392, t=-2.31, p=0.147)"
DeepLabV3+,Massachusetts,austin,outlier,"0.6296 ± 0.1697 → 0.4074 ± 0.2313 (Δ=-0.2222, t=-1.00, p=0.423)"
DeepLabV3+,Massachusetts,austin,small,"0.3404 ± 0.0131 → 0.3206 ± 0.0320 (Δ=-0.0197, t=-1.19, p=0.356)"
